time_id,time,hour,minute,second
616,1970-01-01 00:10:16,0,10,16
617,1970-01-01 00:10:17,0,10,17
618,1970-01-01 00:10:18,0,10,18
619,1970-01-01 00:10:19,0,10,19
620,1970-01-01 00:10:20,0,10,20
621,1970-01-01 00:10:21,0,10,21
622,1970-01-01 00:10:22,0,10,22
623,1970-01-01 00:10:23,0,10,23
624,1970-01-01 00:10:24,0,10,24
625,1970-01-01 00:10:25,0,10,25
626,1970-01-01 00:10:26,0,10,26
627,1970-01-01 00:10:27,0,10,27
628,1970-01-01 00:10:28,0,10,28
629,1970-01-01 00:10:29,0,10,29
630,1970-01-01 00:10:30,0,10,30
631,1970-01-01 00:10:31,0,10,31
632,1970-01-01 00:10:32,0,10,32
633,1970-01-01 00:10:33,0,10,33
634,1970-01-01 00:10:34,0,10,34
635,1970-01-01 00:10:35,0,10,35
636,1970-01-01 00:10:36,0,10,36
637,1970-01-01 00:10:37,0,10,37
638,1970-01-01 00:10:38,0,10,38
639,1970-01-01 00:10:39,0,10,39
640,1970-01-01 00:10:40,0,10,40
641,1970-01-01 00:10:41,0,10,41
642,1970-01-01 00:10:42,0,10,42
643,1970-01-01 00:10:43,0,10,43
644,1970-01-01 00:10:44,0,10,44
645,1970-01-01 00:10:45,0,10,45
646,1970-01-01 00:10:46,0,10,46
647,1970-01-01 00:10:47,0,10,47
648,1970-01-01 00:10:48,0,10,48
649,1970-01-01 00:10:49,0,10,49
650,1970-01-01 00:10:50,0,10,50
651,1970-01-01 00:10:51,0,10,51
652,1970-01-01 00:10:52,0,10,52
653,1970-01-01 00:10:53,0,10,53
654,1970-01-01 00:10:54,0,10,54
655,1970-01-01 00:10:55,0,10,55
656,1970-01-01 00:10:56,0,10,56
657,1970-01-01 00:10:57,0,10,57
658,1970-01-01 00:10:58,0,10,58
659,1970-01-01 00:10:59,0,10,59
660,1970-01-01 00:11:00,0,11,0
661,1970-01-01 00:11:01,0,11,1
662,1970-01-01 00:11:02,0,11,2
